Question Number|English Content|Chinese Translation
78|"Many experts think that the world climate is constantly changing."|"许多专家认为世界气候在不断变化。"
79|"Students are permitted to park at campus parking spaces."|"学生可以在校园停车场停车。"
80|"It is really a comprehensive program covering both theory and practice."|"这确实是一个包括理论和实践的综合项目。"
81|"We are researching the most significant challenges that are faced in our society today."|"我们正在研究当今社会所面临的最重大的挑战。"
82|"Our professor is hosting the business development conference."|"我们的教授正在主持商业发展会议。"
83|"She used to be the editor of the student newspaper."|"她曾是校报的编辑。"
84|"Statistical results should be expressed in different ways depending on the circumstances."|"统计结果应根据情况以不同的方式表示。"
85|"You are advised to use multiple research methods for this project."|"建议你们在这个项目中使用多种研究方法。"
86|"Students requiring an extension should apply sooner rather than later."|"要求延期的学生应尽早申请，不宜推迟。"
87|"Textile manufacturing plays a large role in improving economies."|"纺织业在改善经济方面起着很大的作用。"
88|"Food that contains antibiotics provides few or no nutritional value."|"含有抗生素的食物几乎没有营养价值。"
89|"The archaeologist's new discoveries stand out in previously overlooked foundations."|"这位考古学家的新发现在以前被忽视的基础上更引人注目。"
90|"New developments in technology are influencing current research."|"技术的新发展正在影响当前的研究。"
91|"Most known oil reserves will only last for half a century."|"大多数已知的石油储量只能维持半个世纪。"
92|"The designers will complete the plan later today."|"设计师们将在今天晚些时候完成这个设计图。"
93|"The essay will be published once the research is finished."|"一旦研究完成，这篇文章就会发表。"
94|"The faculty staff are very approachable, friendly and extremely helpful."|"教职工都很平易近人，友好，而且非常乐于助人。"
95|"The railway makes long-distance travel possible for everyone."|"铁路使每个人都能进行长途旅行。"
96|"The theme of the instrumental work exhibits more of a demure compositional style."|"这首乐器演奏的主题表现出了极为庄重的创作风格。"
97|"The ways in which people communicate are constantly changing."|"人们交流的方式在不断变化。"
98|"There is a clear need for further research in this field."|"在这个领域明显需要进一步研究。"
99|"Our laboratory equipment is provided free of charge."|"我们的实验设备是免费的。"
100|"It would be extremely beneficial to work together."|"一起工作是非常有益的。"
101|"This project is divided into four main sections."|"本项目分为四个主要部分。"
102|"Understanding how to use the library will save your time."|"了解如何使用图书馆会节省你的时间。"
103|"The essay is easy to write once the research is completed."|"一旦研究完成，这篇文章很容易写了。"
104|"Those who are considering a career in marketing should attend the talk."|"那些正在考虑从事市场营销的人应该参加这次演讲。"
105|"The university has invested in new technologies designed to support learning."|"大学已投资于新技术，旨在支持学习。"
106|"A good research assistant is not afraid to ask questions."|"一个好的研究助手不怕问问题。"
107|"Experts are now able to forecast weather over a much longer period."|"专家们现在能够预测更长期的天气。"
108|"Archaeologists discovered tools and other artifacts near the ancient tomb."|"考古学家在古墓附近发现了工具和其他手工艺品。"
109|"We have a lecture in the morning on Thursday."|"我们星期四上午有一节课。"
110|"Thousands of people turned out ahead of the prestigious election."|"在这次著名的选举之前，成千上万的人参加了投票。"
111|"A professor took one year off to work on her book."|"一位教授休了一年的假，专注于撰写她的书籍。"
112|"The lecture tomorrow will discuss the educational policy of the United States."|"明天的讲座将讨论美国的教育政策。"
113|"The history lecture has been moved to the lecture theater."|"历史课已经被改到大讲堂进行了。"
114|"Biology involves the study of life at all levels."|"生物学涉及对生命各个层次的研究。"
115|"Food has become a political issue in the world."|"食品已经成为世界上的一个政治问题。"
116|"All medical students must clean their hands before entering the room."|"所有医科学生在进入房间前必须洗手。"
117|"Implementation figures are expected to be improved in the next few years."|"执行数据预计在今后几年内会有所改善。"
118|"Your statistical information depends on your raw data."|"你的统计信息取决于你的原始数据。"
119|"Certain organisms can reproduce using just one parent."|"某些生物体可以只用一个亲本进行繁殖。"
120|"Protective clothing must always be worn in the laboratory."|"在实验室里必须一直穿着防护服。"
121|"Sound waves are unable to travel through vacuum."|"声波不能在真空中传播。"
122|"Make sure you choose a course that provides great career opportunities."|"确保你选择的课程能提供很好的就业机会。"
123|"Undergraduates have a wide range of cultural modules to choose from."|"本科生有广泛的文化课可供选择。"
124|"Social media is criticized for causing internet addiction."|"人们批评社交媒体会导致网瘾。"
125|"The researchers are disappointed that the results of the research have been proved to be inconclusive."|"研究人员感到失望的是，研究结果已被证明是不确定的。"
126|"International exchange formed the important part of our study program."|"国际交流是我们学习计划的重要组成部分。"
127|"Consumer confidence tends to increase as the economy expands."|"随着经济繁荣，消费者信心往往会增强。"
128|"Food containing ample calories provides little or no nutritional value."|"含有过多热量的食物几乎没有提供营养价值。"
129|"Make sure you’ve saved all files before turning off the computer."|"关闭电脑之前，请确保保存了所有文件。"
130|"This book can be borrowed for a maximum of one week."|"这本书最长可以借一周。"
131|"This essay will argue that technology does more good than harm."|"这篇文章将论证技术带来的好处多于坏处。"
132|"The history department is very active in research."|"历史系在研究方面非常活跃。"
133|"Graphs and charts allowed data to be more easily understood."|"图表使数据更容易被理解。"
134|"The coffee machine located on the third floor is not working today."|"位于三楼的咖啡机今天不工作。"
135|"Muscle cells bring parts of the body closer together."|"肌肉细胞使身体的各部分更加靠近。"
136|"You will learn how to rationally assess your arguments."|"你将学会如何理性地评估你的论据。"
137|"Slides and handouts can be downloaded after lectures."|"课后可以下载幻灯片和讲义。"
138|"Business practices must obey contemporary general regulations."|"商业行为必须遵守当代的一般规定。"
139|"The news will not be received until the following week."|"消息要到下一周才会收到。"
140|"We can see the stars that were formed thirteen billion years ago."|"我们可以看到一百三十亿年前形成的恒星。"
141|"As student union members, you can influence and change our university."|"作为学生会的成员，你可以影响并改变我们的大学。"
142|"The horizontal line on the graph indicates that there was no change in the period."|"图表上的水平线表示这一时期没有变化。"
143|"Purity is one feature that makes gold expensive."|"纯度是使黄金昂贵的一个特质。"
144|"Even simple techniques need to be practiced to become better."|"即使是简单的技巧也需要练习才能变得更好。"
145|"Studying history can help you better understand the present."|"学习历史可以帮助你更好地理解现在。"
146|"The course covers architecture planning and construction on the international scale."|"课程涵盖了国际范围内的建筑规划与建造。"
147|"Studying medicine allows for a wide range of career opportunities."|"学习医学提供了广泛的职业机会。"
148|"The deadline for the marketing assignment has been extended."|"市场营销作业的截止时间被延后了。"
149|"This course aims to develop your knowledge of statistics."|"这门课程旨在发展你的统计学知识。"
150|"Professors with higher educational standards trained them extremely seriously."|"具有较高教育水平的教授极其认真地训练他们。"
151|"The capacity of programming computers is expanding enormously every year."|"编程计算机的能力每年都在极大地增强。"
152|"Eating fish twice a week is recommended for a healthy diet."|"每周吃两次鱼是健康饮食的建议。"
153|"Information technology has changed the way people study today."|"信息技术改变了人们今天学习的方式。"
154|"The library will stay open until midnight this week."|"图书馆本周将一直开放到午夜。"
155|"Two sides have disagreed on how to solve the problem."|"双方在如何解决这个问题上意见不一。"
156|"The very basic feature of computing would be counting and calculating."|"计算机算法的最基本特征应该是计数与运算。"
157|"Babies can distinguish between what is language and what is not."|"婴儿能够区分什么是语言，什么不是语言。"
158|"Psychologists say that what we have experienced influences our behaviors."|"心理学家说，我们的经历会影响我们的行为。"
159|"Many university lectures can now be viewed on the internet."|"现在可以在网上观看许多大学的讲座。"
160|"Urbanization provides the expenses of other communities."|"城市化为其他社区的提供了经费。"
161|"Students are required to have an undergraduate degree in Biology to be enrolled in this course."|"修这门课的学生必须有生物学学士学位。"
162|"Philosophy uses logic and reasons to analyze human experiences."|"哲学用逻辑和理由来分析人类的经验。"
163|"Field trips are an essential part of geography courses."|"实地考察是地理课程的重要组成部分。"
164|"Providers of higher education treat plagiarism extremely seriously."|"高等教育机构对抄袭的态度极其严肃。"
165|"Extracurricular activities can help students develop more talents."|"课外活动可以帮助学生发展更多的才能。"
166|"The government is funding a research study on the consequences of unemployment."|"政府正在资助一项关于失业影响的研究。"
167|"There are many different styles of business management."|"商业管理有许多不同的风格。"
168|"The digital camera has some advantages over traditional film."|"数码相机比传统胶卷有一些优势。"
169|"The university provides excellent leisure facilities for students and staff."|"大学为学生和职员提供优质的休闲设施。"
170|"The history of economics is a tricky subject to study."|"经济学史是一门棘手的学科。"
171|"Air pollution is a serious problem all over the world."|"空气污染在全世界都是个严重的问题。"
172|"Urban planning emphasizes efficiency and expansion of communities."|"城市规划强调效率和社区的扩展。"
173|"The course will start with the history of architecture."|"这门课程将从建筑学的历史开始。"
174|"Please note that the seminar has now been canceled."|"请注意，研讨会现已取消。"
175|"Scholarship applications must be handed in by the end of this month."|"奖学金申请必须在这个月底之前交上来。"
176|"Please return your reference books to the library shelves."|"请把你的参考书归还到图书馆的书架上。"
177|"Art and design is a competitive field to work in."|"艺术设计是个具有竞争力的工作领域。"
178|"Many diseases that were once serious have now been eradicated."|"许多曾经严重的疾病现在已被根除。"
179|"The urban geography degree includes the study of demography."|"城市地理学位包括对人口统计学的研究。"
180|"Nutrition plays a key role in athletic performance."|"营养物质在运动表现中起着关键作用。"
181|"Sugar is a solid carbohydrate which is always used to sweeten food."|"糖是一种固体碳水化合物，常被用来使食物变甜。"
182|"Our workshops are open to all students on campus."|"我们的工作坊对校园里的所有学生开放。"
183|"Reading histories involves a level of careful selection."|"阅读历史书需要一定程度的仔细选择。"
184|"Many universities provide exchange programs to other countries."|"许多大学提供到其他国家的交换项目。"
185|"The deadline for this assignment is next Wednesday."|"这个作业的截止日期是下周三。"
186|"City planners recognize the need for accessible public transport options."|"城市规划者认识到无障碍公共交通的必要性。"
187|"There are a variety of different ways to present statistical information."|"有各种不同的方式来表示统计信息。"
188|"The degree is taught by using a mixture of lectures and seminars."|"该学位是通过讲座和研讨课的结合来教授的。"
189|"The student magazine is looking for a new editor."|"学生杂志正在找一位新编辑。"
190|"Scholarships are available for both local and international students."|"本地及国际学生均可获得奖学金。"
191|"Libraries in many areas were closed due to the lack of funding."|"许多地区的图书馆由于缺乏资金而关闭。"
192|"Accommodation on campus is limited but there are more options nearby."|"校园住宿有限，但附近有更多选择。"
193|"All students have their own style of learning."|"所有的学生都有自己的学习风格。"
194|"This course can help to deepen your appreciation of art."|"这门课程有助增强你对艺术的鉴赏力。"
195|"The research shows that spending time outdoors has a range of benefits."|"研究表明花时间在户外有一系列的好处。"
196|"Career mobility is very important for new graduates."|"职业流动性（能在不同工作之间转换的能力）对应届毕业生来说非常重要。"
197|"The amount of time spent on configuration varies considerably."|"花费在配置上的时间差别很大。"
198|"Academic journals are usually edited by subject specialists."|"学术期刊通常由学科专家编辑。"
199|"Our company must have independent financial auditing."|"我们公司必须有独立的财务审计。"
200|"Please make sure your applications follow the guideline provided."|"请确保您的申请符合所提供的标准。"
201|"Understanding visual media has never been more challenging."|"了解视觉媒体这件事从来没有像现在这样具有挑战性。"
202|"An essay should use evidence from both primary and secondary sources."|"一篇文章会使用一手资源和二手资源的论据。"
203|"A surprisingly large number of students applied for that course."|"申请那门课程的学生人数多得惊人。"
204|"The university library holds a number of collections of geological maps."|"大学图书馆收藏了许多地质图。"
205|"Students are encouraged to read new books recommended by Professor Jones."|"鼓励学生阅读琼斯教授推荐的新书。"
206|"We hope students ignite and follow their interests."|"我们希望学生点燃并追随他们的兴趣。"
207|"Our company currently employs more than ten thousand people worldwide."|"我们公司目前在全球拥有员工超过一万人。"
208|"It is clear that the human population has an impact on the environment."|"很明显，人口对环境有影响。"
209|"It is an integrated course with several main elements."|"这是一门由几个主要元素组成的综合性课程。"
210|"The public is often misled by biased coverage."|"公众经常被有偏见的报道所误导。"
211|"The extent of advertising to children is very much open to debate."|"广告对儿童的影响程度是很容易引起争论的。"
212|"The renowned journalism will last for half of the century."|"那个著名的新闻报道将持续半个世纪。"
213|"The closing date of applications for travel scholarships is next Monday."|"旅游奖学金的申请截止日期是下星期一。"
214|"The university's main library will be open till midnight next Saturday."|"大学的主图书馆将在下周六开放至午夜。"
215|"The study of utilizing projects is funded by the university."|"运用项目的研究由大学资助。"
216|"We help students to develop their individualities and follow their interests."|"我们帮助学生发展他们的个性，并遵循他们的兴趣。"
217|"Many universities are continuously expanding the postgraduate education online learning resources."|"许多高校都在不断扩大研究生教育的在线学习资源。"
218|"Our aim is to transmit mathematics teaching in the classroom."|"我们的目标是在课堂上进行数学教学。"
219|"Experts said reading and listening to music can reduce stress."|"专家说阅读和听音乐可以减轻压力。"
220|"The night sky has always involved mystery and wonder."|"夜空总是充满神秘和惊奇。"
221|"Please refer to the guidelines for more information on setting goals."|"有关设定目标的更多信息，请参阅指南。"
222|"The terms, illness and disease, are confusing despite clear differences."|"尽管“病”和“疾病”有明显的区别，但这两个术语仍然令人困惑。"
223|"Every living thing begins as a single cell."|"所有生物都是从单个细胞开始的。"
224|"These words recognized the excellence of the undergraduates’ research projects."|"这些话肯定了本科生研究项目的优秀。"
225|"Before preparing food, please make sure to wash your hands."|"在准备食物之前，请务必洗手。"
226|"Technology is no longer a simple tool that we can control."|"科技不再是我们可以控制的简单工具。"
227|"The teaching staff are actively engaged in original research."|"教职工积极从事原创性研究。"
228|"There is no economic reason why public borrowing is necessarily bad."|"没有经济原因可以解释为什么公共借贷一定是坏事。"
229|"For the purpose of research, data should be collected and analyzed."|"为了达到研究目的，应该收集数据和分析数据。"
230|"The deadline for the submission of this assignment is tomorrow."|"交作业的最后期限是明天。"
231|"We are phasing out disposable cups on campus."|"我们正在校园里逐步淘汰一次性杯子。"
232|"British students must study mathematics at secondary schools."|"英国学生在中学必须学习数学。"
233|"Companies’ projects must adapt to general data protection regulations."|"公司的项目必须适应常规的数据保护规定。"
234|"Our aim is to transform classical teaching in the classroom."|"我们的目标是改造传统的课堂教学。"
235|"He wrote poetry and plays as well as scientific papers."|"他不仅写科学论文，还写诗歌和戏剧。"
236|"You need to hand in an essay next semester."|"你需要在下个学期交一篇论文。"
237|"Scientific experiments should be repeated to verify the results."|"应该重复科学实验来验证结果。"
238|"We are more able to accommodate postgraduate students than previously possible."|"我们比以前更有能力安顿研究生。"
239|"Please click on the logo above to enter the site."|"请点击上面的网站徽标进入网站。"
240|"There are a wide variety of disciplines in the field of engineering."|"在工程领域有各种各样的学科。"
241|"These two regions are both areas of economic development."|"这两个地区都是经济发展的地区。"
242|"Parents are financially responsible for their children right up until they reach adulthood."|"父母对他们的孩子负有经济责任，直到他们成年。"
243|"More research is needed before any definitive conclusion can be drawn."|"在得出任何明确的结论之前，还需要进行更多的研究。"
244|"The untapped potential of using sunray is phenomenal."|"利用太阳光的潜力是惊人的。"
245|"Students are encouraged to think carefully about their accommodation needs."|"我们鼓励学生仔细考虑他们的住宿需求。"
246|"This is a compulsory course, so make sure you attend."|"这是必修课，所以你一定要参加。"
247|"Lecture outlines are available on the college internal website."|"课程大纲可在学院内部网站上查阅。"
248|"There is an agreed consensus that leadership skills can be taught."|"人们一致认为，领导技能是可以教授的。"
249|"Optional tutorials are offered in the final week of the term."|"选修辅导课在学期的最后一周提供。"
250|"Banks charge interest on the money they lend to customers."|"银行从借给客户的钱中收取利息。"
251|"Practical experience is a vital part of legal training."|"实践经验是法律培训的重要组成部分。"
252|"Effective presenters make eye contact with the audience."|"能带动观众的演讲者会与听众进行眼神交流。"
253|"Recession triggers exciting creativity and high rates of public wisdom."|"经济衰退激发了令人兴奋的创造力和高比例的公众智慧。"
254|"Students will focus on reporting news on changing the media world."|"学生将专注于报道改变媒体世界的新闻。"
255|"The use of wind energy has increased rapidly."|"风能的利用率已迅速增加。"
256|"Globalization has been an overwhelming urbanization phenomenon."|"全球化是一种势不可挡的城市化现象。"
257|"The other book isn't thorough, but it's more insightful."|"另一本书不够详尽，但更有见地。"
258|"Building trust is not something that can be achieved overnight."|"建立信任不是一朝一夕就能实现的。"
259|"The university will cease the colossal renovation of the faint empty theater."|"这所大学将停止对那座昏暗的空剧院的大规模整修。"
260|"A wide range of courses covered different aspects in this subject."|"许多课程涵盖了这门学科的不同方面。"
261|"Online courses enable people to improve their skills while employed."|"在线课程使人们能够在就业时提高他们的技能。"
262|"The university now faces a series of challenges of finance."|"这所大学现在面临着一系列财务方面的挑战。"
263|"The exam application system has been upgraded for professional exams."|"针对专业考试我们升级了考试申请系统。"
264|"New media have transcended traditional national boundaries."|"新媒体超越了传统的国界。"
265|"Please confirm that you have received the textbook."|"请确认课本已经收到。"
266|"The new lecture theater can accommodate a large number of students."|"新的讲堂能容纳很多学生。"
267|"All students can learn even though they have different speeds."|"所有的学生都可以学习，即使他们有不同的速度。"
268|"The marketing budget has been doubled since the beginning of the year."|"营销预算自年初以来已经翻了一番。"
269|"I will come back to this in a moment."|"我稍后会回到这个问题上。"
270|"The curriculum should be adjusted to the current development."|"课程设置应适应当前的发展。"
271|"The student shop sells a range of stationery."|"学生商店出售各种文具。"
272|"Let me give you an example to explain what I mean."|"让我举个例子来解释我的意思。"
273|"Tutors should set clear goals at the start of the class."|"导师应该在课程开始时设定明确的目标。"
274|"Courses on nutrition are growing in popularity every year."|"营养课程每年都越来越受欢迎。"
275|"Strangely, people are simultaneously impressed by and skeptical about statistics."|"奇怪的是，人们对统计数据既感到印象深刻又持怀疑态度。"
276|"The timetable for the next term will be available next week."|"下学期的课程表将于下周公布。"
277|"A demonstrated ability to write clear, correct, and concise English is obligatory."|"具备清晰、准确和简洁的英语写作能力是必需的。"
278|"Most of the lectures begin punctually, so do not be late."|"大多数的讲座都会准时开始，所以不要迟到。"
279|"The stock market crash had repercussions throughout the world."|"股市崩盘在全世界产生了影响。"
280|"The student union hosts a variety of social events."|"学生会举办各种各样的社交活动。"
281|"Default designed packages are likely to be used for most computers."|"大多数电脑都可能使用默认设计的包装。"
282|"Some people believe that education should be free to everyone."|"有些人认为教育应该对每个人免费。"
283|"Formal conclusions could be established through rigorous experiments."|"通过严格的实验可以得出正式的结论。"
284|"Our faculty includes five libraries across the university."|"我们学院在大学里有五间图书馆。"
285|"The reception staff can give advice on renting private accommodation."|"接待处的工作人员可以提供租用私人住所的建议。"
286|"The library will be closed for staff training tomorrow morning."|"图书馆将于明天上午闭馆进行员工培训。"
287|"Too much information may have been avoided by the group research design."|"小组研究设计可能避免了太多的信息。"
288|"Critical thinking is an essential component of a broad education."|"批判性思维是广泛教育的重要组成部分。"
289|"You are allowed to use multiple devices in the examination."|"你可以在考试中使用多种设备。"
290|"The English degree involves work placements in the third year."|"英语学位在第三年安排实习。"
291|"Technologies have enormously transformed the lifestyle of the majority."|"科技极大地改变了大多数人的生活方式。"
292|"A regional assembly was moved to the devolution of power."|"地方议会被转移到权力下放。"
293|"The deadline for the scientific assignment will be extended."|"科学作业的截止日期将会延长。"
294|"Scientists recognize different ice types according to the water molecule content."|"科学家们根据水分子的含量来识别不同类型的冰。"
295|"Having a strong motivation is important to achieve your goals."|"有一个强大的动力对实现你的目标很重要。"
296|"It is interesting to observe the development of the language skills of toddlers."|"观察幼儿语言技能的发展是很有趣的。"
297|"Most teaching staff make their lecture notes available online."|"大多数教师在网上提供他们的课堂笔记。"
298|"Children start producing words before they are able to walk."|"孩子们在会走路之前就开始说话了。"
299|"The skills of a great stage actor cannot be taught."|"伟大的舞台演员的技巧是教不来的。"
300|"The jobs tomorrow will require higher skill levels."|"未来的工作将需要更高的技能水平。"
301|"The goal of the government is to increase the investments."|"政府的目标是增加投资。"
302|"Social media is responsible for helping the government to solve social problems."|"社交媒体有责任帮助政府解决社会问题。"
303|"The university library has a collection of early geography maps."|"大学图书馆收藏了早期的地理地图。"
304|"Courses are assessed by group work and individual assignments."|"课程通过小组作业和个人作业进行评估。"
305|"Online courses allow students to work at their own pace."|"在线课程允许学生按照自己的节奏学习。"
306|"The academic department needs to be supported by the government."|"学术部门需要由政府提供支持。"
307|"Businesses must adapt to the general data protection regulations."|"企业必须适应通用数据保护法规。"
308|"When sentencing, the court will consider whether the criminal is guilty or not."|"在宣判时，法院将考虑罪犯是否有罪。"
309|"The internet has transformed the nature of publishing."|"互联网改变了出版业的本质。"
310|"More research is required in the field of food science."|"在食品科学领域需要进行更多的研究。"
311|"Many important policies need to be made."|"需要制定许多重要的政策。"
312|"The academic tradition of the school ensures excellence."|"学校的学术传统保证了卓越。"
313|"The scientists found most of the studies today."|"科学家们创立了目前大部分的研究。"
314|"For the small business, making profit is the main priority."|"对于小企业来说，盈利是首要任务。"
315|"Agriculture development is vital for poor rural areas."|"农业发展对贫困农村地区至关重要。"
316|"The new research has produced some unexpected results."|"这项新研究产生了一些意想不到的结果。"
